P2. Forms, controls	Forms: event and method submit	https://javascript.info/forms-submit
P2. Document and resource loading	Page: DOMContentLoaded, load, beforeunload, unload	https://javascript.info/onload-ondomcontentloaded
P2. Document and resource loading	Scripts: async, defer	https://javascript.info/script-async-defer
P2. Document and resource loading	Resource loading: onload and onerror	https://javascript.info/onload-onerror
P2. Miscellaneous	Mutation observer	https://javascript.info/mutation-observer
P2. Miscellaneous	Selection and Range	https://javascript.info/selection-range
P2. Miscellaneous	Event loop: microtasks and macrotasks	https://javascript.info/event-loop
P3. Frames and windows	Popups and window methods	https://javascript.info/popup-windows
P3. Frames and windows	Cross-window communication	https://javascript.info/cross-window-communication
P3. Frames and windows	The clickjacking attack	https://javascript.info/clickjacking
P3. Binary data, files	ArrayBuffer, binary arrays	https://javascript.info/arraybuffer-binary-arrays
P3. Binary data, files	TextDecoder and TextEncoder	https://javascript.info/text-decoder
P3. Binary data, files	Blob	https://javascript.info/blob
P3. Binary data, files	File and FileReader	https://javascript.info/file
P3. Network requests	Fetch	https://javascript.info/fetch
P3. Network requests	FormData	https://javascript.info/formdata
P3. Network requests	Fetch: Download progress	https://javascript.info/fetch-progress
P3. Network requests	Fetch: Abort	https://javascript.info/fetch-abort
P3. Network requests	Fetch: Cross-Origin Requests	https://javascript.info/fetch-crossorigin
P3. Network requests	Fetch API	https://javascript.info/fetch-api
P3. Network requests	URL objects	https://javascript.info/url
P3. Network requests	XMLHttpRequest	https://javascript.info/xmlhttprequest
P3. Network requests	Resumable file upload	https://javascript.info/resume-upload
P3. Network requests	Long polling	https://javascript.info/long-polling
P3. Network requests	WebSocket	https://javascript.info/websocket
P3. Network requests	Server Sent Events	https://javascript.info/server-sent-events
P3. Storing data in the browser	Cookies, document.cookie	https://javascript.info/cookie
P3. Storing data in the browser	LocalStorage, sessionStorage	https://javascript.info/localstorage
P3. Storing data in the browser	IndexedDB	https://javascript.info/indexeddb
P3. Animation	Bezier curve	https://javascript.info/bezier-curve
P3. Animation	CSS-animations	https://javascript.info/css-animations
P3. Animation	JavaScript animations	https://javascript.info/js-animation
P3. Web components	From the orbital height	https://javascript.info/webcomponents-intro
P3. Web components	Custom elements	https://javascript.info/custom-elements
P3. Web components	Shadow DOM	https://javascript.info/shadow-dom
P3. Web components	Template element	https://javascript.info/template-element
P3. Web components	Shadow DOM slots, composition	https://javascript.info/slots-composition
P3. Web components	Shadow DOM styling	https://javascript.info/shadow-dom-style
P3. Web components	Shadow DOM and events	https://javascript.info/shadow-dom-events
P3. Regular expressions	Patterns and flags	https://javascript.info/regexp-introduction
P3. Regular expressions	Character classes	https://javascript.info/regexp-character-classes
P3. Regular expressions	Unicode: flag "u" and class \p{...}	https://javascript.info/regexp-unicode
P3. Regular expressions	Anchors: string start ^ and end $	https://javascript.info/regexp-anchors
P3. Regular expressions	Multiline mode of anchors ^ $, flag "m"	https://javascript.info/regexp-multiline-mode
P3. Regular expressions	Word boundary: \b	https://javascript.info/regexp-boundary
P3. Regular expressions	Escaping, special characters	https://javascript.info/regexp-escaping
P3. Regular expressions	Sets and ranges [...]	https://javascript.info/regexp-character-sets-and-ranges
P3. Regular expressions	Quantifiers +, *, ? and {n}	https://javascript.info/regexp-quantifiers
P3. Regular expressions	Greedy and lazy quantifiers	https://javascript.info/regexp-greedy-and-lazy
P3. Regular expressions	Capturing groups	https://javascript.info/regexp-groups
P3. Regular expressions	Backreferences in pattern: \N and \k<name>	https://javascript.info/regexp-backreferences
P3. Regular expressions	Alternation (OR) |	https://javascript.info/regexp-alternation
P3. Regular expressions	Lookahead and lookbehind	https://javascript.info/regexp-lookahead-lookbehind
P3. Regular expressions	Catastrophic backtracking	https://javascript.info/regexp-catastrophic-backtracking
P3. Regular expressions	Sticky flag "y", searching at position	https://javascript.info/regexp-sticky
P3. Regular expressions	Methods of RegExp and String	https://javascript.info/regexp-methods
